"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","ct.incid","ct.pia","eptdoses_uptake_ct","ct.nia","ct.nnt","ct.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"6.6 (5.66 - 7.53)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","1.34 (1.24 - 1.48)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"5.3 (4.4 - 6.19)","0.11 (-0.01 - 0.24)","280 (250 - 307)","1497 (-121 - 3686)","0.12 (-0.15 - 0.29)","1.21 (1.1 - 1.33)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4.39 (3.6 - 5.41)","0.18 (0.07 - 0.28)","476 (436 - 523)","2562 (754 - 4355)","0.25 (0.13 - 0.49)","1.12 (1.02 - 1.22)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.85 (3.05 - 4.74)","0.25 (0.13 - 0.34)","638 (575 - 690)","3557 (1638 - 4968)","0.3 (0.17 - 0.56)","1.06 (0.95 - 1.16)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.34 (2.77 - 4.13)","0.3 (0.18 - 0.39)","752 (689 - 833)","3944 (2382 - 5826)","0.35 (0.22 - 0.6)","0.98 (0.88 - 1.07)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.97 (2.27 - 3.71)","0.34 (0.26 - 0.42)","846 (760 - 943)","4810 (3367 - 6232)","0.36 (0.26 - 0.54)","0.91 (0.82 - 1.02)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.6 (1.92 - 3.25)","0.38 (0.29 - 0.46)","930 (839 - 1018)","5158 (3819 - 7103)","0.38 (0.27 - 0.55)","0.88 (0.78 - 0.95)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.34 (1.79 - 2.9)","0.42 (0.32 - 0.5)","998 (888 - 1097)","5804 (4126 - 7493)","0.39 (0.27 - 0.57)","0.83 (0.74 - 0.92)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.1 (1.54 - 2.72)","0.44 (0.35 - 0.52)","1058 (939 - 1160)","6264 (4477 - 7768)","0.38 (0.29 - 0.57)","0.79 (0.7 - 0.88)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.08 (1.35 - 2.61)","0.46 (0.38 - 0.53)","1140 (1007 - 1227)","6438 (4891 - 7977)","0.41 (0.31 - 0.55)","0.78 (0.69 - 0.86)"
"11",1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.82 (1.27 - 2.33)","0.49 (0.39 - 0.55)","1158 (1038 - 1300)","6841 (5027 - 8224)","0.41 (0.31 - 0.61)","0.75 (0.67 - 0.83)"
