"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","ct.incid","ct.pia","eptdoses_uptake_ct","ct.nia","ct.nnt","ct.timesInf"
"12",0.2,4,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4.35 (3.57 - 5.16)","0.19 (0.06 - 0.29)","404 (354 - 445)","2677 (929 - 4438)","0.23 (0.12 - 0.44)","1.12 (1.01 - 1.22)"
"13",0.2,13,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4.47 (3.52 - 5.34)","0.19 (0.07 - 0.3)","524 (464 - 579)","2660 (1048 - 4747)","0.22 (0.13 - 0.43)","1.11 (0.99 - 1.22)"
"14",0.2,17,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4.27 (3.58 - 5.33)","0.22 (0.07 - 0.32)","568 (514 - 632)","3112 (1033 - 4640)","0.21 (0.13 - 0.41)","1.12 (1 - 1.21)"
"15",0.2,22,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4.34 (3.47 - 5.22)","0.19 (0.07 - 0.31)","629 (573 - 689)","2578 (911 - 4710)","0.22 (0.12 - 0.41)","1.11 (1 - 1.22)"
"16",0.2,26,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4.36 (3.57 - 5.06)","0.22 (0.07 - 0.32)","664 (600 - 739)","3106 (873 - 4585)","0.2 (0.12 - 0.38)","1.09 (1 - 1.2)"
"17",0.2,9,0.8,0.8,0.8,0.55,0.44,0.44,0.33,0.22,1,1,"4.22 (3.43 - 4.91)","0.21 (0.1 - 0.32)","504 (456 - 550)","2902 (1227 - 4968)","0.22 (0.13 - 0.42)","1.07 (0.97 - 1.2)"
"18",0.2,9,0.8,0.8,0.8,0.6,0.48,0.48,0.36,0.24,1,1,"4.04 (3.21 - 5.05)","0.22 (0.1 - 0.32)","558 (494 - 616)","3036 (1379 - 4762)","0.22 (0.12 - 0.38)","1.08 (0.97 - 1.2)"
"19",0.2,9,0.8,0.8,0.8,0.65,0.52,0.52,0.39,0.26,1,1,"3.74 (3.11 - 4.69)","0.25 (0.14 - 0.36)","579 (520 - 643)","3352 (1874 - 5267)","0.19 (0.11 - 0.35)","1.03 (0.94 - 1.16)"
"20",0.2,9,0.8,0.8,0.8,0.7,0.56,0.56,0.42,0.28,1,1,"3.63 (2.96 - 4.37)","0.27 (0.17 - 0.36)","608 (550 - 678)","3645 (2040 - 5458)","0.18 (0.12 - 0.3)","1.01 (0.91 - 1.12)"
"21",0.2,9,0.8,0.8,0.8,0.75,0.6,0.6,0.45,0.3,1,1,"3.53 (2.84 - 4.24)","0.27 (0.17 - 0.37)","645 (579 - 707)","3703 (2239 - 5418)","0.2 (0.13 - 0.33)","1 (0.92 - 1.09)"
"22",0.2,9,0.88,0.88,0.88,0.5,0.4,0.4,0.3,0.2,1,1,"4.24 (3.43 - 5.19)","0.21 (0.08 - 0.31)","512 (463 - 571)","2988 (1129 - 4708)","0.23 (0.13 - 0.43)","1.1 (0.98 - 1.2)"
"23",0.2,9,0.96,0.96,0.96,0.5,0.4,0.4,0.3,0.2,1,1,"4.16 (3.41 - 5.03)","0.21 (0.11 - 0.32)","549 (497 - 602)","2922 (1492 - 4635)","0.22 (0.13 - 0.42)","1.07 (0.98 - 1.18)"
