"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gc.incid","gc.pia","eptdoses_uptake_gc","gc.nia","gc.nnt","gc.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"3.94 (2.24 - 5.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0.76 (0.57 - 0.97)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.66 (2.24 - 5.24)","0.01 (-0.45 - 0.3)","34 (26 - 41)","62 (-2870 - 3099)","-0.02 (-0.17 - 0.12)","0.78 (0.59 - 0.96)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.56 (2 - 4.94)","0.04 (-0.34 - 0.33)","59 (44 - 72)","384 (-1985 - 2918)","0.05 (-0.32 - 0.27)","0.72 (0.55 - 0.9)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.17 (2.01 - 5.08)","0.09 (-0.45 - 0.38)","80 (56 - 108)","722 (-2748 - 3347)","0.09 (-0.39 - 0.34)","0.7 (0.52 - 0.96)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.06 (1.78 - 4.5)","0.1 (-0.22 - 0.36)","101 (80 - 121)","683 (-1386 - 3616)","0.17 (-0.69 - 0.56)","0.69 (0.57 - 0.85)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.07 (1.85 - 4.89)","0.08 (-0.32 - 0.31)","123 (94 - 155)","690 (-2134 - 2705)","0.19 (-0.65 - 0.84)","0.72 (0.56 - 0.91)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"2.88 (1.65 - 4.51)","0.1 (-0.36 - 0.4)","136 (100 - 175)","748 (-2464 - 3850)","0.24 (-0.76 - 0.65)","0.68 (0.52 - 0.89)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"2.77 (1.54 - 4.46)","0.17 (-0.32 - 0.44)","141 (110 - 194)","1372 (-1920 - 4355)","0.26 (-0.87 - 0.77)","0.63 (0.51 - 0.88)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"3.1 (1.74 - 4.56)","0.1 (-0.31 - 0.39)","170 (122 - 220)","763 (-1970 - 3751)","0.29 (-1.05 - 1.09)","0.67 (0.5 - 0.89)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"2.95 (1.79 - 4.38)","0.13 (-0.31 - 0.38)","182 (134 - 222)","996 (-2066 - 3734)","0.38 (-1.12 - 1.12)","0.69 (0.52 - 0.84)"
"11",1,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"2.53 (1.48 - 4.14)","0.2 (-0.24 - 0.43)","180 (140 - 234)","1431 (-1419 - 4102)","0.45 (-1.36 - 1.27)","0.64 (0.49 - 0.8)"
"12",0.1,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.67 (1.55 - 3.96)","0.14 (-0.24 - 0.42)","123 (93 - 151)","990 (-1456 - 3934)","0.03 (-0.14 - 0.12)","0.69 (0.53 - 0.81)"
