"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gc.incid","gc.pia","eptdoses_uptake_gc","gc.nia","gc.nnt","gc.timesInf"
"13",0.2,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2.31 (1.22 - 3.58)","0.18 (-0.13 - 0.43)","194 (151 - 257)","1348 (-887 - 4167)","0.09 (-0.27 - 0.31)","0.61 (0.47 - 0.76)"
"14",0.3,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"2 (0.93 - 3.1)","0.29 (-0.05 - 0.52)","251 (193 - 311)","2432 (-292 - 4945)","0.13 (-0.24 - 0.35)","0.56 (0.43 - 0.67)"
"15",0.4,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.54 (0.73 - 2.64)","0.31 (0.03 - 0.54)","295 (214 - 381)","2323 (214 - 5478)","0.18 (0.04 - 0.49)","0.53 (0.39 - 0.67)"
"16",0.5,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.49 (0.67 - 2.36)","0.4 (0.06 - 0.56)","322 (246 - 416)","2866 (326 - 5509)","0.22 (0.08 - 0.5)","0.48 (0.38 - 0.62)"
"17",0.6,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.45 (0.64 - 2.54)","0.37 (0.04 - 0.59)","360 (271 - 480)","2973 (332 - 5699)","0.24 (0.09 - 0.59)","0.49 (0.36 - 0.62)"
"18",0.7,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.15 (0.48 - 2.16)","0.41 (0.11 - 0.62)","380 (282 - 490)","3286 (539 - 5992)","0.24 (0.1 - 0.58)","0.46 (0.34 - 0.59)"
"19",0.8,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.26 (0.53 - 2.14)","0.4 (0.11 - 0.61)","426 (320 - 548)","3037 (775 - 5589)","0.36 (0.14 - 0.88)","0.47 (0.36 - 0.61)"
"20",0.9,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.04 (0.42 - 2.01)","0.43 (0.19 - 0.63)","424 (316 - 552)","3616 (1209 - 6386)","0.35 (0.15 - 0.75)","0.43 (0.32 - 0.56)"
"21",1,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"1.12 (0.43 - 2.04)","0.43 (0.14 - 0.63)","460 (342 - 597)","3427 (848 - 6196)","0.36 (0.14 - 0.89)","0.45 (0.33 - 0.58)"
"22",0.1,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.6 (2.05 - 5.42)","0 (-0.48 - 0.3)","62 (44 - 77)","26 (-3013 - 2830)","0.01 (-0.15 - 0.12)","0.77 (0.56 - 0.97)"
"23",0.2,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"4.09 (2.52 - 5.33)","-0.06 (-0.48 - 0.23)","118 (87 - 147)","-392 (-3062 - 2218)","-0.18 (-0.35 - 0.26)","0.81 (0.6 - 0.98)"
"24",0.3,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.69 (2.33 - 5.35)","-0.03 (-0.49 - 0.31)","154 (122 - 197)","-206 (-2952 - 3009)","-0.22 (-0.47 - 0.31)","0.76 (0.6 - 0.95)"
"25",0.4,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.76 (2.09 - 5.11)","0.07 (-0.48 - 0.33)","193 (151 - 240)","514 (-2752 - 3340)","0.12 (-0.54 - 0.51)","0.78 (0.58 - 0.95)"
"26",0.5,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.57 (2.04 - 5.18)","0.07 (-0.35 - 0.35)","222 (168 - 280)","512 (-2634 - 3582)","0.12 (-0.73 - 0.54)","0.74 (0.56 - 0.94)"
"27",0.6,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.53 (2.24 - 4.94)","0.02 (-0.38 - 0.33)","243 (195 - 305)","199 (-2430 - 3092)","0.15 (-1 - 0.67)","0.74 (0.56 - 0.9)"
"28",0.7,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.54 (1.93 - 4.99)","0.03 (-0.47 - 0.31)","274 (217 - 343)","257 (-2824 - 3186)","0.21 (-0.95 - 0.92)","0.73 (0.59 - 0.96)"
"29",0.8,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.21 (2.06 - 4.63)","0.07 (-0.32 - 0.36)","292 (219 - 349)","546 (-1805 - 3283)","0.31 (-1.15 - 1.05)","0.72 (0.57 - 0.88)"
"30",0.9,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.14 (2.05 - 4.94)","-0.02 (-0.4 - 0.35)","308 (246 - 383)","-166 (-2497 - 3462)","-0.64 (-1.69 - 0.77)","0.72 (0.57 - 0.93)"
"31",1,9,0.8,0.8,0.8,0,0,0,0,0.2,1,1,"3.41 (2.04 - 4.84)","0.01 (-0.39 - 0.29)","332 (271 - 405)","110 (-2215 - 2650)","0.25 (-1.67 - 1.4)","0.75 (0.59 - 0.91)"
