"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","ct.incid","ct.pia","eptdoses_uptake_ct","ct.nia","ct.nnt","ct.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"6.6 (5.66 - 7.53)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","1.34 (1.24 - 1.48)"
"2",0.2,9,0.8,0.8,0.8,0.5,0.5,0,0,0,1,1,"6.06 (5.11 - 6.89)","0.06 (-0.09 - 0.19)","93 (82 - 105)","844 (-1229 - 2792)","0.23 (-0.48 - 0.56)","1.29 (1.18 - 1.4)"
"3",0.2,9,0.8,0.8,0.8,0.6,0.6,0,0,0,1,1,"5.97 (4.95 - 6.99)","0.04 (-0.11 - 0.17)","113 (100 - 126)","532 (-1299 - 2526)","0.2 (-0.57 - 0.56)","1.29 (1.18 - 1.43)"
"4",0.2,9,0.8,0.8,0.8,0.7,0.7,0,0,0,1,1,"5.77 (5 - 6.84)","0.05 (-0.09 - 0.16)","130 (118 - 145)","692 (-1218 - 2367)","0.21 (-0.52 - 0.64)","1.29 (1.18 - 1.4)"
"5",0.2,9,0.8,0.8,0.8,0.8,0.8,0,0,0,1,1,"5.64 (4.81 - 6.47)","0.07 (-0.06 - 0.19)","146 (132 - 162)","990 (-807 - 2809)","0.21 (-0.6 - 0.48)","1.26 (1.14 - 1.38)"
"6",0.2,9,0.8,0.8,0.8,0.9,0.9,0,0,0,1,1,"5.65 (4.82 - 6.76)","0.08 (-0.06 - 0.19)","165 (146 - 182)","1109 (-738 - 2820)","0.23 (-0.41 - 0.49)","1.25 (1.13 - 1.39)"
"7",0.2,9,0.8,0.8,0.8,1,1,0,0,0,1,1,"5.41 (4.47 - 6.4)","0.09 (-0.02 - 0.22)","178 (158 - 195)","1163 (-288 - 3402)","0.24 (-0.32 - 0.64)","1.22 (1.11 - 1.34)"
"8",0.2,9,0.8,0.8,0.8,0,0,0.5,0.5,0,1,1,"4.72 (3.87 - 5.69)","0.16 (0.02 - 0.27)","375 (329 - 411)","2215 (309 - 4116)","0.23 (0.08 - 0.49)","1.17 (1.04 - 1.27)"
"9",0.2,9,0.8,0.8,0.8,0,0,0.6,0.6,0,1,1,"4.57 (3.58 - 5.38)","0.18 (0.09 - 0.28)","426 (384 - 475)","2598 (1150 - 4380)","0.25 (0.14 - 0.47)","1.12 (0.99 - 1.23)"
"10",0.2,9,0.8,0.8,0.8,0,0,0.7,0.7,0,1,1,"4.36 (3.21 - 5.12)","0.21 (0.09 - 0.32)","487 (438 - 544)","2894 (1225 - 4605)","0.23 (0.13 - 0.53)","1.09 (0.98 - 1.22)"
"11",0.2,9,0.8,0.8,0.8,0,0,0.8,0.8,0,1,1,"3.89 (3.02 - 4.63)","0.23 (0.13 - 0.35)","540 (470 - 603)","3192 (1686 - 5136)","0.21 (0.13 - 0.4)","1.05 (0.93 - 1.17)"
"12",0.2,9,0.8,0.8,0.8,0,0,0.9,0.9,0,1,1,"3.66 (2.86 - 4.33)","0.28 (0.17 - 0.37)","583 (518 - 641)","3904 (2177 - 5519)","0.18 (0.12 - 0.32)","1.01 (0.92 - 1.11)"
"13",0.2,9,0.8,0.8,0.8,0,0,1,1,0,1,1,"3.36 (2.63 - 4.27)","0.29 (0.2 - 0.38)","643 (578 - 698)","4047 (2679 - 5642)","0.17 (0.12 - 0.29)","0.99 (0.9 - 1.09)"
"14",0.2,9,0.8,0.8,0.8,0,0,0,0,0.5,1,1,"6.03 (4.87 - 6.86)","0.05 (-0.07 - 0.18)","348 (310 - 385)","752 (-1012 - 2871)","0.25 (-0.53 - 0.73)","1.28 (1.15 - 1.41)"
"15",0.2,9,0.8,0.8,0.8,0,0,0,0,0.6,1,1,"5.94 (4.9 - 6.98)","0.04 (-0.1 - 0.18)","423 (380 - 464)","554 (-1282 - 2627)","0.19 (-0.56 - 0.48)","1.28 (1.18 - 1.41)"
"16",0.2,9,0.8,0.8,0.8,0,0,0,0,0.7,1,1,"5.64 (4.8 - 6.6)","0.07 (-0.07 - 0.18)","485 (433 - 537)","1114 (-950 - 2698)","0.26 (-0.51 - 0.61)","1.25 (1.13 - 1.39)"
"17",0.2,9,0.8,0.8,0.8,0,0,0,0,0.8,1,1,"5.87 (4.9 - 6.94)","0.05 (-0.1 - 0.18)","562 (504 - 630)","694 (-1283 - 2657)","0.21 (-0.46 - 0.49)","1.29 (1.17 - 1.43)"
"18",0.2,9,0.8,0.8,0.8,0,0,0,0,0.9,1,1,"5.68 (4.55 - 6.53)","0.09 (-0.05 - 0.21)","616 (561 - 675)","1326 (-688 - 3204)","0.23 (-0.41 - 0.53)","1.25 (1.13 - 1.35)"
"19",0.2,9,0.8,0.8,0.8,0,0,0,0,1,1,1,"5.46 (4.49 - 6.57)","0.09 (-0.03 - 0.21)","674 (606 - 748)","1288 (-389 - 3293)","0.24 (-0.38 - 0.56)","1.24 (1.14 - 1.35)"
