"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gc.incid","gc.pia","eptdoses_uptake_gc","gc.nia","gc.nnt","gc.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"3.94 (2.24 - 5.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0.76 (0.57 - 0.97)"
"2",0.2,9,0.8,0.8,0.8,0.5,0.5,0,0,0,1,1,"3.25 (1.96 - 5.11)","0.02 (-0.42 - 0.31)","62 (48 - 78)","136 (-2577 - 2924)","0.03 (-0.33 - 0.23)","0.74 (0.58 - 0.92)"
"3",0.2,9,0.8,0.8,0.8,0.6,0.6,0,0,0,1,1,"3.13 (2.04 - 4.82)","0.08 (-0.29 - 0.35)","71 (53 - 96)","622 (-2030 - 3223)","0.06 (-0.35 - 0.25)","0.71 (0.58 - 0.94)"
"4",0.2,9,0.8,0.8,0.8,0.7,0.7,0,0,0,1,1,"3.21 (1.92 - 4.63)","0.09 (-0.38 - 0.36)","85 (63 - 107)","834 (-2293 - 3170)","0.06 (-0.31 - 0.25)","0.73 (0.54 - 0.9)"
"5",0.2,9,0.8,0.8,0.8,0.8,0.8,0,0,0,1,1,"3.2 (1.98 - 4.63)","0.06 (-0.31 - 0.35)","96 (70 - 122)","374 (-2121 - 3096)","0.05 (-0.33 - 0.24)","0.72 (0.53 - 0.89)"
"6",0.2,9,0.8,0.8,0.8,0.9,0.9,0,0,0,1,1,"3.12 (1.97 - 4.59)","0.07 (-0.38 - 0.38)","106 (80 - 135)","548 (-2263 - 3477)","0.06 (-0.3 - 0.2)","0.7 (0.53 - 0.92)"
"7",0.2,9,0.8,0.8,0.8,1,1,0,0,0,1,1,"3.05 (1.84 - 4.37)","0.11 (-0.24 - 0.35)","114 (88 - 147)","950 (-1491 - 3185)","0.08 (-0.3 - 0.26)","0.7 (0.55 - 0.87)"
"8",0.2,9,0.8,0.8,0.8,0,0,0.5,0.5,0,1,1,"1.6 (0.77 - 2.65)","0.33 (0.08 - 0.55)","215 (152 - 286)","2602 (523 - 5064)","0.1 (0.04 - 0.25)","0.51 (0.37 - 0.68)"
"9",0.2,9,0.8,0.8,0.8,0,0,0.6,0.6,0,1,1,"1.75 (0.75 - 2.67)","0.35 (0.03 - 0.53)","276 (197 - 338)","2754 (155 - 5332)","0.09 (0.02 - 0.19)","0.54 (0.4 - 0.65)"
"10",0.2,9,0.8,0.8,0.8,0,0,0.7,0.7,0,1,1,"1.26 (0.56 - 2.14)","0.39 (0.13 - 0.6)","282 (204 - 357)","2788 (704 - 5929)","0.1 (0.04 - 0.23)","0.47 (0.36 - 0.59)"
"11",0.2,9,0.8,0.8,0.8,0,0,0.8,0.8,0,1,1,"0.97 (0.46 - 1.92)","0.44 (0.15 - 0.63)","300 (232 - 388)","3467 (900 - 6183)","0.08 (0.03 - 0.18)","0.45 (0.35 - 0.56)"
"12",0.2,9,0.8,0.8,0.8,0,0,0.9,0.9,0,1,1,"0.94 (0.34 - 1.79)","0.46 (0.2 - 0.63)","333 (243 - 422)","3534 (1206 - 6003)","0.08 (0.04 - 0.18)","0.44 (0.33 - 0.54)"
"13",0.2,9,0.8,0.8,0.8,0,0,1,1,0,1,1,"0.74 (0.22 - 1.45)","0.53 (0.27 - 0.65)","346 (246 - 431)","4144 (1714 - 6493)","0.07 (0.04 - 0.13)","0.4 (0.3 - 0.49)"
"14",0.2,9,0.8,0.8,0.8,0,0,0,0,0.5,1,1,"3.08 (1.93 - 4.59)","0.09 (-0.25 - 0.33)","248 (190 - 330)","698 (-1514 - 3340)","0.11 (-0.27 - 0.38)","0.71 (0.55 - 0.9)"
"15",0.2,9,0.8,0.8,0.8,0,0,0,0,0.6,1,1,"2.94 (1.87 - 4.88)","0.06 (-0.33 - 0.38)","312 (230 - 397)","403 (-1947 - 3738)","0.05 (-0.31 - 0.2)","0.69 (0.54 - 0.91)"
"16",0.2,9,0.8,0.8,0.8,0,0,0,0,0.7,1,1,"3.13 (1.88 - 4.37)","0.06 (-0.36 - 0.35)","362 (283 - 457)","460 (-2362 - 3270)","0.06 (-0.31 - 0.24)","0.7 (0.55 - 0.88)"
"17",0.2,9,0.8,0.8,0.8,0,0,0,0,0.8,1,1,"2.8 (1.72 - 4.1)","0.15 (-0.25 - 0.36)","392 (288 - 490)","1238 (-1426 - 3600)","0.1 (-0.23 - 0.26)","0.67 (0.5 - 0.83)"
"18",0.2,9,0.8,0.8,0.8,0,0,0,0,0.9,1,1,"2.76 (1.58 - 4.33)","0.17 (-0.25 - 0.42)","422 (345 - 564)","1320 (-1590 - 4352)","0.08 (-0.25 - 0.22)","0.65 (0.51 - 0.84)"
"19",0.2,9,0.8,0.8,0.8,0,0,0,0,1,1,1,"2.76 (1.55 - 3.93)","0.23 (-0.19 - 0.44)","470 (352 - 588)","1712 (-1093 - 4460)","0.09 (-0.21 - 0.23)","0.64 (0.48 - 0.79)"
