"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gcct.incid","gcct.pia","eptdoses_uptake_gcct","gcct.nia","gcct.nnt","sti.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"5.26 (4.31 - 6.19)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","2.13 (1.89 - 2.38)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.95 (3.05 - 4.74)","0.16 (0.01 - 0.28)","471 (412 - 528)","3308 (246 - 6469)","0.12 (0.04 - 0.24)","1.84 (1.63 - 2.05)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.2 (2.5 - 3.87)","0.22 (0.09 - 0.34)","784 (693 - 878)","4612 (1969 - 7801)","0.23 (0.12 - 0.45)","1.69 (1.49 - 1.87)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.52 (2.08 - 3.25)","0.3 (0.2 - 0.41)","1009 (886 - 1128)","6474 (3935 - 10038)","0.26 (0.17 - 0.42)","1.55 (1.36 - 1.71)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.29 (1.85 - 2.79)","0.35 (0.25 - 0.45)","1175 (1055 - 1318)","7818 (4856 - 11100)","0.3 (0.2 - 0.49)","1.41 (1.27 - 1.56)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.91 (1.54 - 2.33)","0.41 (0.29 - 0.49)","1309 (1170 - 1452)","9054 (5864 - 11824)","0.29 (0.22 - 0.5)","1.32 (1.2 - 1.48)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.7 (1.3 - 2.06)","0.44 (0.34 - 0.53)","1386 (1267 - 1566)","9853 (7118 - 12894)","0.32 (0.22 - 0.48)","1.22 (1.11 - 1.38)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.55 (1.19 - 1.99)","0.46 (0.36 - 0.54)","1508 (1382 - 1725)","10252 (7040 - 13116)","0.35 (0.26 - 0.53)","1.19 (1.08 - 1.36)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.37 (1.03 - 1.74)","0.5 (0.39 - 0.58)","1580 (1415 - 1780)","11048 (7896 - 14129)","0.35 (0.24 - 0.54)","1.13 (1.01 - 1.27)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.32 (0.96 - 1.82)","0.51 (0.4 - 0.59)","1700 (1490 - 1907)","11290 (7886 - 14226)","0.37 (0.27 - 0.56)","1.11 (0.98 - 1.25)"
"11",1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.21 (0.89 - 1.6)","0.5 (0.43 - 0.58)","1830 (1622 - 2024)","11202 (8429 - 13991)","0.42 (0.3 - 0.58)","1.12 (0.99 - 1.24)"
"12",0.2,4,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.01 (2.55 - 3.64)","0.23 (0.09 - 0.36)","664 (580 - 752)","4963 (1764 - 8684)","0.21 (0.12 - 0.45)","1.66 (1.48 - 1.86)"
