"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gcct.incid","gcct.pia","eptdoses_uptake_gcct","gcct.nia","gcct.nnt","sti.timesInf"
"13",0.2,13,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3 (2.45 - 3.75)","0.24 (0.1 - 0.36)","841 (746 - 956)","5366 (2089 - 8603)","0.21 (0.12 - 0.4)","1.62 (1.47 - 1.87)"
"14",0.2,17,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.15 (2.49 - 3.85)","0.24 (0.11 - 0.35)","936 (828 - 1050)","5206 (2265 - 8653)","0.21 (0.11 - 0.39)","1.66 (1.44 - 1.85)"
"15",0.2,22,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3.12 (2.51 - 3.77)","0.24 (0.1 - 0.36)","1036 (922 - 1142)","5272 (2022 - 8784)","0.18 (0.1 - 0.36)","1.66 (1.49 - 1.84)"
"16",0.2,26,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.97 (2.39 - 3.6)","0.26 (0.14 - 0.36)","1062 (956 - 1198)","5508 (2564 - 8658)","0.2 (0.13 - 0.4)","1.62 (1.45 - 1.78)"
"17",0.2,9,0.8,0.8,0.8,0.55,0.44,0.44,0.33,0.22,1,1,"2.85 (2.29 - 3.52)","0.27 (0.14 - 0.37)","822 (712 - 933)","5987 (2510 - 9037)","0.21 (0.12 - 0.41)","1.58 (1.42 - 1.77)"
"18",0.2,9,0.8,0.8,0.8,0.6,0.48,0.48,0.36,0.24,1,1,"2.81 (2.29 - 3.51)","0.29 (0.13 - 0.39)","874 (783 - 996)","6593 (2458 - 9218)","0.18 (0.12 - 0.43)","1.56 (1.41 - 1.75)"
"19",0.2,9,0.8,0.8,0.8,0.65,0.52,0.52,0.39,0.26,1,1,"2.59 (2.06 - 3.15)","0.31 (0.18 - 0.41)","919 (803 - 1048)","6667 (3618 - 9968)","0.17 (0.1 - 0.29)","1.5 (1.36 - 1.7)"
"20",0.2,9,0.8,0.8,0.8,0.7,0.56,0.56,0.42,0.28,1,1,"2.52 (1.92 - 3.05)","0.33 (0.21 - 0.44)","981 (847 - 1076)","7157 (3932 - 10760)","0.16 (0.1 - 0.26)","1.49 (1.32 - 1.63)"
"21",0.2,9,0.8,0.8,0.8,0.75,0.6,0.6,0.45,0.3,1,1,"2.34 (1.89 - 2.89)","0.34 (0.21 - 0.44)","1008 (900 - 1135)","7610 (4316 - 10685)","0.15 (0.1 - 0.25)","1.45 (1.3 - 1.61)"
"22",0.2,9,0.88,0.88,0.88,0.5,0.4,0.4,0.3,0.2,1,1,"2.95 (2.35 - 3.58)","0.27 (0.12 - 0.36)","828 (730 - 944)","6140 (2568 - 8437)","0.19 (0.12 - 0.36)","1.61 (1.44 - 1.8)"
"23",0.2,9,0.96,0.96,0.96,0.5,0.4,0.4,0.3,0.2,1,1,"2.81 (2.28 - 3.57)","0.27 (0.14 - 0.38)","878 (782 - 987)","5766 (2864 - 9298)","0.19 (0.11 - 0.33)","1.56 (1.41 - 1.76)"
